query_text,persona,intent_label,complexity,entities,route,notes,source_file,raw_persona,raw_intent,raw_route,standardization_notes,entity_types
MIT,high_school_student,direct_lookup,short_circuit,{school:MIT},typesense_only,simple entity,Data - Anika.csv,high_school_student,exact_lookup,typesense_only,"persona:high_school_student->high_school_student,intent:exact_lookup->direct_lookup,intent:validated_direct_lookup",school
UCLA tuition,high_school_student,attribute_lookup,short_circuit,"{school:UCLA,attribute:tuition}",typesense_only,single attribute,Data - Anika.csv,high_school_student,attribute_lookup,typesense_only,"persona:high_school_student->high_school_student,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup","school,cost_constraint"
engineering schools in California,high_school_student,filtered_search,medium,"{program:engineering,location:CA}",search,1–2 filters,Data - Anika.csv,high_school_student,filtered_search,search,"persona:high_school_student->high_school_student,intent:filtered_search->filtered_search,intent:validated_filtered_search","major_or_program,location"
affordable engineering schools near the beach,high_school_student,multi_constraint,complex,"{program:engineering,cost:low,location:coast}",agentic,multi-constraint,Data - Anika.csv,high_school_student,multi_constraint,agentic,"persona:high_school_student->high_school_student,intent:multi_constraint->multi_constraint,intent:validated_multi_constraint","major_or_program,location"
Purdue vs Georgia Tech,high_school_student,comparison,complex,"{schools:[Purdue,Georgia Tech]}",comparison_engine,compare entities,Data - Anika.csv,high_school_student,comparison,comparison_engine,"persona:high_school_student->high_school_student,intent:comparison->comparison,intent:validated_comparison","school,comparison_target"
schools like MIT but less competitive,high_school_student,recommendation,complex,"{reference:MIT,selectivity:lower}",agentic,needs recommendations,Data - Anika.csv,high_school_student,recommendation,agentic,"persona:high_school_student->high_school_student,intent:recommendation->recommendation,intent:validated_recommendation","school,rewrite_cue"
what GPA do I need for NYU,high_school_student,admissions_process,medium,"{school:NYU,metric:GPA}",llm,how-to admissions,Data - Anika.csv,high_school_student,admissions_process,llm,"persona:high_school_student->high_school_student,intent:admissions_process->admissions_process,intent:validated_admissions_process","school,admissions_or_attribute_signal"
how to pay for college without loans,high_school_student,cost_financial_aid,medium,{},llm,cost/aid guidance,Data - Anika.csv,high_school_student,cost_financial_aid,llm,"persona:high_school_student->high_school_student,intent:cost_financial_aid->cost_financial_aid,intent:validated_cost_financial_aid",
schools with fun campus life,high_school_student,campus_life_fit,llm_needed,{},llm,subjective fit,Data - Anika.csv,high_school_student,campus_life_fit,llm,"persona:high_school_student->high_school_student,intent:campus_life_fit->campus_life_fit,intent:validated_campus_life_fit",
best colleges for cs job placement,high_school_student,career_outcomes,medium,{program:CS},llm,outcomes,Data - Anika.csv,high_school_student,career_outcomes,llm,"persona:high_school_student->high_school_student,intent:career_outcomes->career_outcomes,intent:validated_career_outcomes","major_or_program,career_outcome_cue"
