query_text,true_persona,true_intent,expected_route,expected_tier,notes,entity_types
UT Austin,high_school_student,direct_lookup,typesense_only,easy,gold label; high_school_student; direct_lookup,school
Columbia,high_school_student,direct_lookup,typesense_only,easy,gold label; high_school_student; direct_lookup,school
georgia tech,high_school_student,direct_lookup,typesense_only,easy,gold label; high_school_student; direct_lookup,school
Virginia Tech overview,high_school_student,direct_lookup,typesense_only,easy,gold label; high_school_student; direct_lookup,"school,admissions_or_attribute_signal"
Stanford acceptance rate,high_school_student,attribute_lookup,typesense_plus_metadata,easy,gold label; high_school_student; attribute_lookup,"school,admissions_or_attribute_signal"
Carnegie Mellon housing policy,high_school_student,attribute_lookup,typesense_plus_metadata,easy,gold label; high_school_student; attribute_lookup,"school,admissions_or_attribute_signal"
University of Michigan acceptance rate,high_school_student,attribute_lookup,typesense_plus_metadata,easy,gold label; high_school_student; attribute_lookup,"school,admissions_or_attribute_signal"
Stanford tuition,high_school_student,attribute_lookup,typesense_plus_metadata,easy,gold label; high_school_student; attribute_lookup,"school,cost_constraint"
universities with strong pre-med,high_school_student,filtered_search,semantic_or_faceted_search,medium,gold label; high_school_student; filtered_search,major_or_program
colleges near the beach,high_school_student,filtered_search,semantic_or_faceted_search,medium,gold label; high_school_student; filtered_search,location
best psychology schools in Texas,high_school_student,filtered_search,semantic_or_faceted_search,medium,gold label; high_school_student; filtered_search,"major_or_program,location"
universities with strong psychology,high_school_student,filtered_search,semantic_or_faceted_search,medium,gold label; high_school_student; filtered_search,major_or_program
small economics colleges in warm states under 40k,high_school_student,multi_constraint,foundry_multi_agent,complex,gold label; high_school_student; multi_constraint,"major_or_program,location"
colleges near the beach with scholarships with strong research and campus safety,high_school_student,multi_constraint,foundry_multi_agent,complex,gold label; high_school_student; multi_constraint,"location,cost_constraint"
small mechanical engineering colleges in the Midwest with strong aid,high_school_student,multi_constraint,foundry_multi_agent,complex,gold label; high_school_student; multi_constraint,"major_or_program,location"
small engineering colleges near Chicago under 40k,high_school_student,multi_constraint,foundry_multi_agent,complex,gold label; high_school_student; multi_constraint,"major_or_program,location"
Harvard vs Carnegie Mellon for architecture,high_school_student,comparison,compare_pipeline,complex,gold label; high_school_student; comparison,"school,comparison_target,major_or_program"
Duke vs Carnegie Mellon for business,high_school_student,comparison,compare_pipeline,complex,gold label; high_school_student; comparison,"school,comparison_target,major_or_program"
Carnegie Mellon tuition vs MIT tuition,high_school_student,comparison,compare_pipeline,complex,gold label; high_school_student; comparison,"school,comparison_target,cost_constraint"
University of Michigan vs Northwestern,high_school_student,comparison,compare_pipeline,complex,gold label; high_school_student; comparison,"school,comparison_target"
